site,round,trt,rep,sub,year picked up,month picked up,day picked up,date,doy,sample,AgoLeo,BalObt,BalSpp,OscPse,PseCol,AphFim,CalGra,ChiDis,ColErr,MelPro,OtoHae,BorPra,CanPil,OntHec,OntOrp,OntNuc,abund,richness,dwell_abund,dwell_rich,roll_abund,roll_rich,tunn_abund,tunn_rich,native_abund,native_rich,alien_abund,alien_rich
bison1_1,1,bison,1,1,2022,6,10,6/10/2022,161,NE,0,0,0,1,26,0,0,4,7,0,0,0,20,0,0,18,76,6,38,4,20,1,18,1,47,3,29,3
bison1_1,1,bison,1,1,2022,6,10,6/10/2022,161,NW,1,0,0,0,0,0,0,1,6,0,0,0,13,0,1,28,50,6,8,3,13,1,29,2,15,3,35,3
bison1_1,1,bison,1,1,2022,6,10,6/10/2022,161,SE,0,0,0,1,14,0,0,1,13,0,0,0,11,2,0,23,65,7,29,4,11,1,25,2,28,4,37,3
bison1_1,2,bison,1,1,2022,7,20,7/20/2022,201,NE,0,0,0,0,1,0,0,0,21,0,0,3,16,0,0,5,46,5,22,2,19,2,5,1,20,3,26,2
bison1_1,2,bison,1,1,2022,7,20,7/20/2022,201,NW,0,0,0,0,0,0,0,0,37,0,0,11,25,0,0,7,80,4,37,1,36,2,7,1,36,2,44,2
bison1_1,2,bison,1,1,2022,7,20,7/20/2022,201,SE,0,0,0,0,0,0,0,0,17,0,0,3,11,0,0,8,39,4,17,1,14,2,8,1,14,2,25,2
bison1_1,2,bison,1,1,2022,7,20,7/20/2022,201,SW,0,0,0,0,0,0,0,0,45,0,0,3,8,0,0,10,66,4,45,1,11,2,10,1,11,2,55,2
bison1_1,3,bison,1,1,2022,8,18,8/18/2022,230,NE,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,1,0,0,10,1,0,0,10,1,0,0
bison1_1,3,bison,1,1,2022,8,18,8/18/2022,230,NW,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,1,102,2,0,0,101,1,1,1,101,1,1,1
bison1_1,3,bison,1,1,2022,8,18,8/18/2022,230,SE,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,1,0,0,19,1,0,0,19,1,0,0
bison1_1,3,bison,1,1,2022,8,18,8/18/2022,230,SW,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,1,0,0,13,1,0,0,13,1,0,0
bison1_2,1,bison,1,2,2022,6,10,6/10/2022,161,NE,0,0,0,13,3,0,0,1,18,0,0,0,31,1,2,13,82,8,35,4,31,1,16,3,50,5,32,3
bison1_2,1,bison,1,2,2022,6,10,6/10/2022,161,NW,0,0,0,9,4,0,0,1,18,1,0,0,22,0,1,16,72,8,33,5,22,1,17,2,36,4,36,4
bison1_2,1,bison,1,2,2022,6,10,6/10/2022,161,SE,0,0,0,6,5,0,0,4,17,0,0,0,11,3,1,22,69,8,32,4,11,1,26,3,26,5,43,3
bison1_2,1,bison,1,2,2022,6,10,6/10/2022,161,SW,0,0,0,0,9,0,0,2,45,0,0,3,15,0,1,20,95,7,56,3,18,2,21,2,28,4,67,3
bison1_2,2,bison,1,2,2022,7,14,7/14/2022,195,NE,0,0,0,0,0,0,0,0,16,0,0,0,30,0,1,0,47,3,16,1,30,1,1,1,31,2,16,1
bison1_2,2,bison,1,2,2022,7,14,7/14/2022,195,NW,0,0,0,0,0,0,0,0,15,0,0,1,57,0,0,3,76,4,15,1,58,2,3,1,58,2,18,2
bison1_2,2,bison,1,2,2022,7,14,7/14/2022,195,SE,0,0,0,0,2,0,0,0,25,0,0,0,49,0,1,6,83,5,27,2,49,1,7,2,52,3,31,2
bison1_2,2,bison,1,2,2022,7,14,7/14/2022,195,SW,0,0,0,0,0,0,0,0,30,0,0,0,38,0,0,6,74,3,30,1,38,1,6,1,38,1,36,2
bison1_2,3,bison,1,2,2022,8,24,8/24/2022,236,NE,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,92,1,0,0,92,1,0,0,92,1,0,0
bison1_2,3,bison,1,2,2022,8,24,8/24/2022,236,NW,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,1,69,2,0,0,68,1,1,1,68,1,1,1
bison1_2,3,bison,1,2,2022,8,24,8/24/2022,236,SE,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,32,2,0,0,32,2,0,0,32,2,0,0
bison1_2,3,bison,1,2,2022,8,24,8/24/2022,236,SW,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,80,1,0,0,80,1,0,0,80,1,0,0
bison2_1,1,bison,2,1,2022,6,15,6/15/2022,166,NE,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,16,2,6,1,0,0,10,1,6,1,10,1
bison2_1,1,bison,2,1,2022,6,15,6/15/2022,166,NW,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,7,13,5,4,3,2,1,7,1,4,2,9,3
bison2_1,1,bison,2,1,2022,6,15,6/15/2022,166,SE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,1,1,1,1,1,1
bison2_1,1,bison,2,1,2022,6,15,6/15/2022,166,SW,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,7,3,1,1,1,1,5,1,2,2,5,1
bison2_1,2,bison,2,1,2022,7,20,7/20/2022,201,NE,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,87,94,4,6,2,1,1,87,1,2,2,92,2
bison2_1,2,bison,2,1,2022,7,20,7/20/2022,201,NW,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,80,86,4,2,2,4,1,80,1,5,2,81,2
bison2_1,2,bison,2,1,2022,7,20,7/20/2022,201,SE,0,0,0,0,1,0,0,0,2,0,0,1,5,0,0,20,29,5,3,2,6,2,20,1,7,3,22,2
bison2_1,2,bison,2,1,2022,7,20,7/20/2022,201,SW,0,0,1,0,2,0,0,0,2,0,0,1,6,0,0,40,52,6,5,3,7,2,40,1,10,4,42,2
bison2_1,3,bison,2,1,2022,8,12,8/12/2022,224,NE,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,9,2,0,0,8,1,1,1,8,1,1,1
bison2_1,3,bison,2,1,2022,8,12,8/12/2022,224,NW,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,15,2,0,0,11,1,4,1,11,1,4,1
bison2_1,3,bison,2,1,2022,8,12,8/12/2022,224,SE,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,2,0,0,4,2,0,0,4,2,0,0
bison2_1,3,bison,2,1,2022,8,12,8/12/2022,224,SW,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,5,1,0,0,5,1,0,0
bison2_2,1,bison,2,2,2022,6,23,6/23/2022,174,NE,0,0,0,0,34,0,0,0,10,0,0,0,30,0,0,20,94,4,44,2,30,1,20,1,64,2,30,2
bison2_2,1,bison,2,2,2022,6,23,6/23/2022,174,NW,0,0,0,0,5,0,1,0,2,0,0,1,14,0,0,12,35,6,8,3,15,2,12,1,20,3,15,3
bison2_2,1,bison,2,2,2022,6,23,6/23/2022,174,SE,0,0,0,0,60,0,0,1,13,0,0,2,28,0,0,16,120,6,74,3,30,2,16,1,90,3,30,3
bison2_2,1,bison,2,2,2022,6,23,6/23/2022,174,SW,0,0,0,0,19,0,0,1,4,0,0,0,13,1,0,33,71,6,24,3,13,1,34,2,33,3,38,3
bison2_2,2,bison,2,2,2022,7,15,7/15/2022,196,NE,0,0,0,0,2,0,0,0,7,0,0,1,3,0,0,6,19,5,9,2,4,2,6,1,6,3,13,2
bison2_2,2,bison,2,2,2022,7,15,7/15/2022,196,NW,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,9,2,0,0,2,1,7,1,2,1,7,1
bison2_2,2,bison,2,2,2022,7,15,7/15/2022,196,SE,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,7,3,2,1,2,1,3,1,2,1,5,2
bison2_2,2,bison,2,2,2022,7,15,7/15/2022,196,SW,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,5,2,1,1,4,1,0,0,4,1,1,1
bison2_2,3,bison,2,2,2022,8,12,8/12/2022,224,NE,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,13,2,0,0,11,1,2,1,11,1,2,1
bison2_2,3,bison,2,2,2022,8,12,8/12/2022,224,NW,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,11,2,0,0,8,1,3,1,8,1,3,1
bison2_2,3,bison,2,2,2022,8,12,8/12/2022,224,SE,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,9,2,0,0,6,1,3,1,6,1,3,1
bison2_2,3,bison,2,2,2022,8,12,8/12/2022,224,SW,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,8,17,3,1,1,8,1,8,1,8,1,9,2
bison3_1,1,bison,3,1,2022,6,23,6/23/2022,174,NW,0,0,0,0,20,0,0,3,1,0,0,0,49,0,0,34,107,5,24,3,49,1,34,1,69,2,38,3
bison3_1,1,bison,3,1,2022,6,23,6/23/2022,174,SE,0,0,0,0,11,0,0,0,0,0,0,0,78,0,0,23,112,3,11,1,78,1,23,1,89,2,23,1
