code,PhanaeusVindex,CanthonVigilans,CanthonPilularius,CoprisFricator,OnthophagusHecate,OnthophagusMedorensis,OOrpheusPseudorpheus,DigitonthophagusGazella,MelanocanthonNigricornis,CanthonEbenus,CanthonPracticola,OnthophagusPennsylvanicus,OnthophagusOklahomensis,CanthonViridis,AteuchusHisteroides,CanthonProbus,PhanaeusDifformis
Bison_1_3_119,1,0,2,0,0,0,0,0,0,0,0,17,2,0,0,0,0
Bison_1_1_119,2,0,0,0,14,0,1,0,3,0,0,24,1,0,0,0,0
Bison_1_2_119,3,0,0,0,11,0,0,0,2,0,0,21,0,0,0,0,0
Bison_2_3_119,0,0,0,0,4,1,0,0,8,0,0,7,0,0,0,0,0
Bison_2_1_119,0,0,0,0,38,7,0,0,6,0,0,15,1,0,0,0,0
Bison_2_2_119,0,0,0,5,73,6,2,0,1,0,0,17,0,0,0,0,0
Bison_3_3_119,4,0,0,0,4,8,2,0,1,1,0,19,1,0,0,0,0
Bison_3_1_119,0,0,0,0,13,0,2,0,7,1,0,64,2,0,0,0,0
Bison_3_2_119,3,0,0,0,14,0,1,0,4,0,0,47,0,0,0,0,0
Bison_4_3_119,36,1,5,0,14,4,6,0,26,3,0,980,140,0,0,0,0
Bison_4_1_119,17,0,3,1,29,10,0,0,7,0,0,61,6,0,0,0,0
Bison_4_2_119,4,0,1,0,6,3,1,0,1,0,0,21,0,0,0,0,0
Cattle_1_3_119,4,0,2,0,15,0,1,0,2,0,0,30,1,0,0,0,0
Cattle_1_1_119,1,0,0,0,13,0,15,0,2,0,0,20,1,0,0,0,0
Cattle_1_2_119,0,0,0,0,22,1,0,0,0,0,0,28,0,0,0,0,0
Cattle_2_3_119,0,0,0,0,106,0,0,0,0,0,0,14,1,0,0,0,0
Cattle_2_1_119,3,0,0,1,92,0,1,0,0,0,0,12,0,0,0,0,0
Cattle_2_2_119,2,0,0,0,102,0,1,0,0,0,0,10,0,0,0,0,0
Cattle_3_3_119,5,0,0,0,0,0,1,0,0,0,0,36,3,0,0,0,0
Cattle_3_1_119,10,0,1,0,51,2,2,0,2,0,0,52,2,0,0,0,0
Cattle_3_2_119,7,0,0,0,30,1,1,0,2,0,0,32,1,0,0,0,0
Cattle_4_3_119,3,0,0,0,4,0,2,0,1,0,0,18,0,0,0,0,0
Cattle_4_1_119,13,0,1,0,29,1,6,0,0,0,0,127,1,0,0,0,0
Cattle_4_2_119,2,0,0,0,21,6,1,0,0,0,0,0,0,0,0,0,0
Bison_1_3_140,35,4,120,2,24,4,1,0,5,4,1,679,112,0,1,0,0
Bison_1_1_140,14,2,26,0,23,5,2,0,5,0,1,1447,38,0,0,0,0
Bison_1_2_140,27,2,89,1,14,2,1,0,5,7,1,823,87,0,0,0,0
Bison_2_3_140,22,37,15,2,1,33,5,0,64,5,0,293,25,0,0,0,0
Bison_2_1_140,21,0,11,0,18,0,0,0,0,0,0,648,28,0,0,0,0
Bison_2_2_140,17,12,20,14,137,26,9,0,37,0,0,2000,30,0,3,3,0
Bison_3_3_140,24,28,133,2,20,18,5,0,40,0,0,1412,112,0,0,0,0
