code,trt,doy
Bison_1_3_119,bison,119
Bison_1_1_119,bison,119
Bison_1_2_119,bison,119
Bison_2_3_119,bison,119
Bison_2_1_119,bison,119
Bison_2_2_119,bison,119
Bison_3_3_119,bison,119
Bison_3_1_119,bison,119
Bison_3_2_119,bison,119
Bison_4_3_119,bison,119
Bison_4_1_119,bison,119
Bison_4_2_119,bison,119
Cattle_1_3_119,cattle,119
Cattle_1_1_119,cattle,119
Cattle_1_2_119,cattle,119
Cattle_2_3_119,cattle,119
Cattle_2_1_119,cattle,119
Cattle_2_2_119,cattle,119
Cattle_3_3_119,cattle,119
Cattle_3_1_119,cattle,119
Cattle_3_2_119,cattle,119
Cattle_4_3_119,cattle,119
Cattle_4_1_119,cattle,119
Cattle_4_2_119,cattle,119
Bison_1_3_140,bison,140
Bison_1_1_140,bison,140
Bison_1_2_140,bison,140
Bison_2_3_140,bison,140
Bison_2_1_140,bison,140
Bison_2_2_140,bison,140
Bison_3_3_140,bison,140
Bison_3_1_140,bison,140
Bison_3_2_140,bison,140
Bison_4_3_140,bison,140
Bison_4_1_140,bison,140
Bison_4_2_140,bison,140
Cattle_1_3_140,cattle,140
Cattle_1_1_140,cattle,140
Cattle_1_2_140,cattle,140
Cattle_2_3_140,cattle,140
Cattle_2_1_140,cattle,140
Cattle_2_2_140,cattle,140
Cattle_3_3_140,cattle,140
Cattle_3_1_140,cattle,140
Cattle_3_2_140,cattle,140
Cattle_4_3_140,cattle,140
Cattle_4_1_140,cattle,140
Cattle_4_2_140,cattle,140
Bison_1_3_161,bison,161
Bison_1_1_161,bison,161
Bison_1_2_161,bison,161
Bison_2_3_161,bison,161
Bison_2_1_161,bison,161
Bison_2_2_161,bison,161
Bison_3_3_161,bison,161
Bison_3_1_161,bison,161
Bison_3_2_161,bison,161
Bison_4_3_161,bison,161
Bison_4_1_161,bison,161
Bison_4_2_161,bison,161
Cattle_1_3_161,cattle,161
Cattle_1_1_161,cattle,161
Cattle_1_2_161,cattle,161
Cattle_2_3_161,cattle,161
Cattle_2_1_161,cattle,161
Cattle_2_2_161,cattle,161
Cattle_3_3_161,cattle,161
Cattle_3_1_161,cattle,161
Cattle_3_2_161,cattle,161
Cattle_4_3_161,cattle,161
Cattle_4_1_161,cattle,161
Cattle_4_2_161,cattle,161
Bison_1_3_182,bison,182
Bison_1_1_182,bison,182
Bison_1_2_182,bison,182
Bison_2_3_182,bison,182
Bison_2_1_182,bison,182
Bison_2_2_182,bison,182
Bison_3_3_182,bison,182
Bison_3_1_182,bison,182
Bison_3_2_182,bison,182
Bison_4_3_182,bison,182
Bison_4_1_182,bison,182
Bison_4_2_182,bison,182
Cattle_1_3_182,cattle,182
Cattle_1_1_182,cattle,182
Cattle_1_2_182,cattle,182
Cattle_2_3_182,cattle,182
Cattle_2_1_182,cattle,182
Cattle_2_2_182,cattle,182
Cattle_3_3_182,cattle,182
Cattle_3_1_182,cattle,182
Cattle_3_2_182,cattle,182
Cattle_4_3_182,cattle,182
Cattle_4_1_182,cattle,182
Cattle_4_2_182,cattle,182
Bison_1_3_203,bison,203
Bison_1_1_203,bison,203
Bison_1_2_203,bison,203
Bison_2_3_203,bison,203
Bison_2_1_203,bison,203
Bison_2_2_203,bison,203
Bison_3_3_203,bison,203
Bison_3_1_203,bison,203
Bison_3_2_203,bison,203
Bison_4_3_203,bison,203
Bison_4_1_203,bison,203
Bison_4_2_203,bison,203
Cattle_1_3_203,cattle,203
Cattle_1_1_203,cattle,203
Cattle_1_2_203,cattle,203
Cattle_2_3_203,cattle,203
Cattle_2_1_203,cattle,203
Cattle_2_2_203,cattle,203
Cattle_3_3_203,cattle,203
Cattle_3_1_203,cattle,203
Cattle_3_2_203,cattle,203
Cattle_4_3_203,cattle,203
Cattle_4_1_203,cattle,203
Cattle_4_2_203,cattle,203
Bison_1_3_224,bison,224
Bison_1_1_224,bison,224
Bison_1_2_224,bison,224
Bison_2_3_224,bison,224
Bison_2_1_224,bison,224
Bison_2_2_224,bison,224
Bison_3_3_224,bison,224
Bison_3_1_224,bison,224
Bison_3_2_224,bison,224
Bison_4_3_224,bison,224
Bison_4_1_224,bison,224
Bison_4_2_224,bison,224
Cattle_1_3_224,cattle,224
Cattle_1_1_224,cattle,224
Cattle_1_2_224,cattle,224
Cattle_2_3_224,cattle,224
Cattle_2_1_224,cattle,224
Cattle_2_2_224,cattle,224
Cattle_3_3_224,cattle,224
Cattle_3_1_224,cattle,224
Cattle_3_2_224,cattle,224
Cattle_4_3_224,cattle,224
Cattle_4_1_224,cattle,224
Cattle_4_2_224,cattle,224
Bison_1_3_244,bison,244
Bison_1_1_244,bison,244
Bison_1_2_244,bison,244
Bison_2_3_244,bison,244
Bison_2_1_244,bison,244
Bison_2_2_244,bison,244
Bison_3_3_244,bison,244
Bison_3_1_244,bison,244
Bison_3_2_244,bison,244
Bison_4_3_244,bison,244
Bison_4_1_244,bison,244
Bison_4_2_244,bison,244
Cattle_1_3_244,cattle,244
Cattle_1_1_244,cattle,244
Cattle_1_2_244,cattle,244
Cattle_2_3_244,cattle,244
Cattle_2_1_244,cattle,244
Cattle_2_2_244,cattle,244
Cattle_3_2_244,cattle,244
Cattle_3_3_244,cattle,244
Cattle_3_1_244,cattle,244
Cattle_4_3_244,cattle,244
Cattle_4_1_244,cattle,244
Cattle_4_2_244,cattle,244
Bison_1_3_266,bison,266
Bison_1_1_266,bison,266
Bison_1_2_266,bison,266
Bison_2_3_266,bison,266
Bison_2_1_266,bison,266
Bison_2_2_266,bison,266
Bison_3_3_266,bison,266
Bison_3_1_266,bison,266
Bison_3_2_266,bison,266
Bison_4_3_266,bison,266
Bison_4_1_266,bison,266
Bison_4_2_266,bison,266
Cattle_1_3_266,cattle,266
Cattle_1_1_266,cattle,266
Cattle_1_2_266,cattle,266
Cattle_2_3_266,cattle,266
Cattle_2_1_266,cattle,266
Cattle_2_2_266,cattle,266
Cattle_3_3_266,cattle,266
Cattle_3_1_266,cattle,266
Cattle_3_2_266,cattle,266
Cattle_4_3_266,cattle,266
Cattle_4_1_266,cattle,266
Cattle_4_2_266,cattle,266
Bison_1_3_294,bison,294
Bison_1_1_294,bison,294
Bison_1_2_294,bison,294
Bison_2_3_294,bison,294
Bison_2_1_294,bison,294
Bison_2_2_294,bison,294
Bison_3_3_294,bison,294
Bison_3_1_294,bison,294
